TagID,EnergyArt,Brand_Type,Date,Time,TotalVolumeHLT,EnergyUsedAdjusted
782,CO2,Læsk,2019-05-02 00:00:00,7,940.8104,505.00
782,CO2,Cider,2019-05-31 00:00:00,5,522.7416000000001,505.00
782,CO2,Læsk,2019-05-06 00:00:00,1,290.1096,504.00
782,CO2,Læsk,2019-05-02 00:00:00,22,752.1096,502.00
782,CO2,Læsk,2019-05-04 00:00:00,15,282.2688,502.00
782,CO2,Læsk,2019-05-20 00:00:00,3,258.7464,502.00
782,CO2,Læsk,2019-05-28 00:00:00,3,903.1536000000001,501.00
782,CO2,Læsk,2019-05-01 00:00:00,23,1850.376,500.00
782,CO2,Læsk,2019-05-27 00:00:00,9,204.3792,500.00
782,CO2,Læsk,2019-05-20 00:00:00,16,947.736,499.00
782,CO2,Læsk,2019-05-22 00:00:00,4,1818.8496,499.00
782,CO2,Læsk,2019-05-05 00:00:00,17,266.5872,498.00
782,CO2,Læsk,2019-05-20 00:00:00,20,825.6528,498.00
782,CO2,Læsk,2019-05-22 00:00:00,20,950.1936000000001,498.00
782,CO2,Læsk,2019-05-17 00:00:00,16,580.2192,497.00
782,CO2,Læsk,2019-05-13 00:00:00,20,1477.2969,496.00
782,CO2,Læsk,2019-05-21 00:00:00,15,1400.9327999999998,496.00
782,CO2,Læsk,2019-05-22 00:00:00,14,945.096,496.00
782,CO2,Læsk,2019-05-21 00:00:00,11,1640.8484,494.00
782,CO2,Læsk,2019-05-17 00:00:00,10,588.06,493.00
782,CO2,Læsk,2019-05-22 00:00:00,9,705.8088,493.00
782,CO2,Læsk,2019-05-27 00:00:00,12,429.5596,492.00
782,CO2,Cider,2019-05-08 00:00:00,8,207.36,489.00
782,CO2,Læsk,2019-05-04 00:00:00,3,135.43200000000002,488.00
782,CO2,Læsk,2019-05-10 00:00:00,2,898.6296000000001,488.00
782,CO2,Læsk,2019-05-20 00:00:00,8,266.5872,488.00
782,CO2,Læsk,2019-05-19 00:00:00,12,196.41600000000003,487.00
782,CO2,Læsk,2019-05-22 00:00:00,11,769.932,487.00
782,CO2,Læsk,2019-05-22 00:00:00,13,987.1752,487.00
782,CO2,Læsk,2019-05-20 00:00:00,17,748.6127999999999,486.00
782,CO2,Læsk,2019-05-01 00:00:00,13,1241.7336,485.00
782,CO2,Cider,2019-05-09 00:00:00,4,250.56,485.00
782,CO2,Læsk,2019-05-26 00:00:00,2,101.9304,483.00
782,CO2,Læsk,2019-05-27 00:00:00,13,885.0655999999997,482.00
782,CO2,Læsk,2019-05-25 00:00:00,20,250.90560000000002,481.00
782,CO2,Cider,2019-05-30 00:00:00,0,328.32000000000005,481.00
782,CO2,Læsk,2019-05-02 00:00:00,0,1608.2088,480.00
782,CO2,,2019-05-03 00:00:00,13,,480.00
782,CO2,Læsk,2019-05-21 00:00:00,5,580.2192,480.00
782,CO2,Cider,2019-05-08 00:00:00,3,328.32000000000005,478.00
782,CO2,Læsk,2019-05-10 00:00:00,22,533.1744,477.00
782,CO2,Cider,2019-05-08 00:00:00,1,336.96000000000004,474.00
782,CO2,,2019-05-09 00:00:00,13,,474.00
782,CO2,Læsk,2019-05-21 00:00:00,3,571.6944000000001,473.00
782,CO2,Cider,2019-05-07 00:00:00,21,267.84000000000003,472.00
782,CO2,Læsk,2019-05-20 00:00:00,4,180.3384,472.00
782,CO2,Læsk,2019-05-27 00:00:00,15,916.4588,472.00
782,CO2,Læsk,2019-05-03 00:00:00,10,249.48000000000005,471.00
782,CO2,Læsk,2019-05-04 00:00:00,9,158.4,469.00
782,CO2,Cider,2019-05-09 00:00:00,16,224.64000000000001,468.00
782,CO2,Læsk,2019-05-21 00:00:00,10,1137.8591999999999,468.00
782,CO2,Cider,2019-05-08 00:00:00,2,336.96000000000004,467.00
782,CO2,Cider,2019-05-24 00:00:00,4,452.0880000000001,466.00
782,CO2,Cider,2019-05-24 00:00:00,9,311.04,466.00
782,CO2,Cider,2019-05-30 00:00:00,19,302.40000000000003,466.00
782,CO2,Læsk,2019-05-03 00:00:00,3,469.17600000000004,463.00
782,CO2,Cider,2019-05-24 00:00:00,10,354.24,461.00
782,CO2,Cider,2019-05-08 00:00:00,19,285.12,459.00
782,CO2,,2019-05-28 00:00:00,13,,456.00
782,CO2,,2019-05-31 00:00:00,14,,455.00
782,CO2,Læsk,2019-05-19 00:00:00,11,228.09600000000003,454.00
782,CO2,Cider,2019-05-24 00:00:00,8,302.4,452.00
782,CO2,Læsk,2019-05-14 00:00:00,18,930.4218000000001,449.00
782,CO2,Cider,2019-05-31 00:00:00,0,495.2232000000001,448.00
782,CO2,,2019-05-14 00:00:00,3,,446.00
782,CO2,Cider,2019-05-08 00:00:00,20,259.20000000000005,445.00
782,CO2,Cider,2019-05-31 00:00:00,9,325.92240000000004,445.00
782,CO2,Læsk,2019-05-04 00:00:00,18,243.06480000000002,441.00
782,CO2,Cider,2019-05-07 00:00:00,7,285.12,441.00
782,CO2,Læsk,2019-05-17 00:00:00,23,541.0152,441.00
782,CO2,Læsk,2019-05-22 00:00:00,17,1150.6511999999998,440.00
782,CO2,Læsk,2019-05-20 00:00:00,18,930.6735999999999,439.00
782,CO2,Læsk,2019-05-26 00:00:00,5,101.9304,437.00
782,CO2,,2019-05-07 00:00:00,4,,436.00
782,CO2,Læsk,2019-05-11 00:00:00,23,256.60800000000006,436.00
782,CO2,Læsk,2019-05-21 00:00:00,9,1140.372,436.00
782,CO2,Læsk,2019-05-26 00:00:00,14,297.9504,436.00
782,CO2,Cider,2019-05-07 00:00:00,11,241.92000000000002,434.00
782,CO2,Cider,2019-05-09 00:00:00,1,311.04,434.00
782,CO2,Læsk,2019-05-27 00:00:00,16,1124.1668,434.00
782,CO2,Cider,2019-05-07 00:00:00,12,311.04,431.00
782,CO2,Cider,2019-05-07 00:00:00,22,397.44000000000005,431.00
782,CO2,Cider,2019-05-07 00:00:00,20,319.68,427.00
782,CO2,Læsk,2019-05-14 00:00:00,19,614.7336,427.00
782,CO2,Læsk,2019-05-03 00:00:00,16,235.22400000000005,426.00
782,CO2,Cider,2019-05-08 00:00:00,7,336.96000000000004,426.00
782,CO2,Cider,2019-05-07 00:00:00,5,311.04,424.00
782,CO2,,2019-05-19 00:00:00,7,,422.00
782,CO2,Cider,2019-05-07 00:00:00,14,164.16000000000003,421.00
782,CO2,Cider,2019-05-24 00:00:00,2,293.76,421.00
782,CO2,Læsk,2019-05-01 00:00:00,18,1482.612,420.00
782,CO2,Læsk,2019-05-27 00:00:00,3,267.14639999999997,420.00
782,CO2,Cider,2019-05-30 00:00:00,18,319.68,419.00
782,CO2,,2019-05-19 00:00:00,21,,417.00
782,CO2,Læsk,2019-05-25 00:00:00,21,196.02,415.00
782,CO2,,2019-05-27 00:00:00,19,,414.00
782,CO2,,2019-05-25 00:00:00,11,,413.00
782,CO2,,2019-05-24 00:00:00,14,,411.00
782,CO2,Cider,2019-05-09 00:00:00,5,319.68,407.00
